Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2002,2002-09-08,1,1,22.162,DAL,HOU,False,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,0,,0,,,,,,,True,False,10,19,Billy Cundiff
2002,2002-09-15,2,2,22.169,DAL,TEN,False,3,3,100.0,,,,0,3,0.0,,,,,,0,0,,,,,,,,,False,True,21,13,Billy Cundiff
2002,2002-09-22,3,3,22.176,DAL,PHI,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,True,False,13,44,Billy Cundiff
2002,2002-09-29,4,4,22.183,DAL,STL,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,True,True,13,10,Billy Cundiff
2002,2002-10-06,5,5,22.190,DAL,NYG,False,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,0,,0,,,,,,,False,False,17,21,Billy Cundiff
2002,2002-10-13,6,6,22.197,DAL,CAR,False,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,,,,,,,False,True,14,13,Billy Cundiff
2002,2002-10-20,7,7,22.204,DAL,ARI,False,,,,,1,0.0,0,0,0.0,,,,,,0,0,,0,,,,,,,True,False,6,9,Billy Cundiff
2002,2002-10-27,8,8,22.211,DAL,SEA,False,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,,,,,,,False,False,14,17,Billy Cundiff
2002,2002-11-03,9,9,22.218,DAL,DET,False,1,1,100.0,,,,0,1,0.0,,,,,,0,0,,,,,,,,,True,False,7,9,Billy Cundiff
2002,2002-11-17,10,11,22.232,DAL,IND,False,,,,1,2,50.0,0,3,0.0,,,,,,0,0,,0,,,,,,,True,False,3,20,Billy Cundiff
2002,2002-11-24,11,12,22.239,DAL,JAX,False,3,3,100.0,,1,0.0,0,3,0.0,,,,,,0,0,,0,,,,,,,False,True,21,19,Billy Cundiff
2002,2002-11-28,12,13,22.243,DAL,WAS,False,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,0,,0,0,,0,,,,,,,False,True,27,20,Billy Cundiff
2002,2002-12-08,13,14,22.253,DAL,SFO,False,3,3,100.0,2,3,66.7,0,9,0.0,1,0,1,0,,0,0,,0,,,,,,,False,False,27,31,Billy Cundiff
2002,2002-12-15,14,15,22.260,DAL,NYG,False,1,1,100.0,,,,0,1,0.0,,,,,,0,0,,,,,,,,,True,False,7,37,Billy Cundiff
2002,2002-12-21,15,16,22.266,DAL,PHI,False,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,,,,,,,False,False,3,27,Billy Cundiff
2002,2002-12-29,16,17,22.274,DAL,WAS,False,2,2,100.0,,,,0,2,0.0,0,0,0,0,,0,0,,,,,,,,,True,False,14,20,Billy Cundiff
2003,2003-09-07,1,1,23.161,DAL,ATL,False,1,2,50.0,,1,0.0,0,1,0.0,,,,,,0,0,,0,,,,,,,False,False,13,27,Billy Cundiff
2003,2003-09-15,2,2,23.169,DAL,NYG,False,2,2,100.0,7,8,87.5,0,23,0.0,,,,,,0,0,,0,,,,,,,True,True,35,32,Billy Cundiff
2003,2003-09-28,3,4,23.182,DAL,NYJ,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,,0,,,,,,,True,True,17,6,Billy Cundiff
2003,2003-10-05,4,5,23.189,DAL,ARI,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,False,True,24,7,Billy Cundiff
2003,2003-10-12,5,6,23.196,DAL,PHI,False,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,0,,0,,,,,,,False,True,23,21,Billy Cundiff
2003,2003-10-19,6,7,23.203,DAL,DET,False,5,5,100.0,1,1,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,True,True,38,7,Billy Cundiff
2003,2003-10-26,7,8,23.210,DAL,TAM,False,,,,,1,0.0,0,0,0.0,,,,,,0,0,,0,,,,,,,True,False,0,16,Billy Cundiff
2003,2003-11-02,8,9,23.217,DAL,WAS,False,3,3,100.0,,,,0,3,0.0,,,,,,0,0,,,,,,,,,False,True,21,14,Billy Cundiff
2003,2003-11-09,9,10,23.224,DAL,BUF,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,1,32,32.00,0,,,,,,,False,True,10,6,Billy Cundiff
2003,2003-11-16,10,11,,DAL,NWE,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,0,12,Billy Cundiff
2003,2003-11-23,11,12,23.238,DAL,CAR,False,3,3,100.0,1,3,33.3,0,6,0.0,,,,,,0,0,,0,,,,,,,False,True,24,20,Billy Cundiff
