Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2021-01-03,16.0,17.0,25.013,LVR,DEN,W 32-31,False,7,3,24,8.00,0,42.9%,3.43,0,0,,0,1,21,21.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,74%,0,0%,4,12%,True,Hunter Renfrow,True,32,31
2021.0,2021-09-13,1.0,1.0,25.266,LVR,BAL,W 33-27,False,9,6,70,11.67,0,66.7%,7.78,0,0,,0,2,10,5.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,55%,0,0%,4,13%,False,Hunter Renfrow,True,33,27
2021.0,2021-09-19,2.0,2.0,25.272,LVR,PIT,W 26-17,False,7,5,57,11.40,0,71.4%,8.14,0,0,,0,2,26,13.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,44%,0,0%,5,18%,True,Hunter Renfrow,True,26,17
2021.0,2021-09-26,3.0,3.0,25.279,LVR,MIA,W 31-28,False,6,5,77,15.40,1,83.3%,12.83,0,0,,0,2,9,4.50,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,52%,0,0%,4,12%,False,Hunter Renfrow,True,31,28
2021.0,2021-10-04,4.0,4.0,25.287,LVR,LAC,L 14-28,True,8,6,45,7.50,1,75.0%,5.63,0,0,,0,3,22,7.33,0,1,6,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,38,67%,0,0%,6,22%,True,Hunter Renfrow,False,14,28
2021.0,2021-10-10,5.0,5.0,25.293,LVR,CHI,L 9-20,True,8,6,56,9.33,0,75.0%,7.00,0,0,,0,1,9,9.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,75%,0,0%,5,23%,False,Hunter Renfrow,False,9,20
2021.0,2021-10-17,6.0,6.0,25.3,LVR,DEN,W 34-24,False,5,3,36,12.00,0,60.0%,7.20,0,0,,0,1,5,5.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,57%,0,0%,5,16%,True,Hunter Renfrow,True,34,24
2021.0,2021-10-24,7.0,7.0,25.307,LVR,PHI,W 33-22,False,8,7,58,8.29,0,87.5%,7.25,0,0,,0,1,15,15.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,55%,0,0%,5,21%,False,Hunter Renfrow,True,33,22
2021.0,2021-11-07,8.0,9.0,25.321,LVR,NYG,L 16-23,True,9,7,49,7.00,1,77.8%,5.44,0,0,,0,1,5,5.00,0,1,6,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45,65%,0,0%,3,12%,True,Hunter Renfrow,False,16,23
2021.0,2021-11-14,9.0,10.0,25.328,LVR,KAN,L 14-41,False,9,7,46,6.57,1,77.8%,5.11,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,72%,0,0%,2,7%,False,Hunter Renfrow,False,14,41
2021.0,2021-11-21,10.0,11.0,25.335,LVR,CIN,L 13-32,True,4,4,30,7.50,0,100.0%,7.50,1,5,5.00,0,2,23,11.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,72%,0,0%,2,7%,False,Hunter Renfrow,False,13,32
2021.0,2021-11-25,11.0,12.0,25.339,LVR,DAL,W 36-33,True,9,8,134,16.75,0,88.9%,14.89,1,2,2.00,0,3,34,11.33,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,74%,0,0%,8,19%,True,Hunter Renfrow,True,36,33
2021.0,2021-12-05,12.0,13.0,25.349,LVR,WAS,L 15-17,True,10,9,102,11.33,0,90.0%,10.20,0,0,,0,1,6,6.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,92%,0,0%,4,17%,False,Hunter Renfrow,False,15,17
2021.0,2021-12-12,13.0,14.0,25.356,LVR,KAN,L 9-48,True,14,13,117,9.00,1,92.9%,8.36,0,0,,0,1,6,6.00,0,1,6,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,59,94%,0,0%,1,4%,True,Hunter Renfrow,False,9,48
2021.0,2021-12-20,14.0,15.0,25.364,LVR,CLE,W 16-14,False,5,3,32,10.67,0,60.0%,6.40,0,0,,0,4,31,7.75,0,0,0,0.0,1,0,1,0,0,0,0,0,0,2,0,0,3,39,0,54,78%,0,0%,7,27%,True,Hunter Renfrow,True,16,14
2021.0,2021-12-26,15.0,16.0,26.005,LVR,DEN,W 17-13,True,3,3,40,13.33,1,100.0%,13.33,0,0,,0,1,6,6.00,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,58%,0,0%,5,23%,False,Hunter Renfrow,True,17,13
2021.0,2022-01-02,16.0,17.0,26.012,LVR,IND,W 23-20,True,9,7,76,10.86,1,77.8%,8.44,0,0,,0,3,64,21.33,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,69%,0,0%,5,19%,True,Hunter Renfrow,True,23,20
2021.0,2022-01-09,17.0,18.0,26.019,LVR,LAC,W 35-32,False,5,4,13,3.25,2,80.0%,2.60,1,-4,-4.00,0,3,32,10.67,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,64%,0,0%,4,12%,False,Hunter Renfrow,True,35,32
,46 Games,,,,,,25-21-0,False,276,208,2299,11.05,15,75.4%,8.33,3,3,1.00,0,59,606,10.27,0,15,90,0.0,3,0,3,0,0,0,0,0,1,8,2,0,3,39,0,,,,,,,False,Hunter Renfrow,False,21,0
