Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
1998,1998-09-06,1,1,,DET,GNB,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,19,38,Charlie Batch
1998,1998-09-13,2,2,,DET,CIN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,28,34,Charlie Batch
1998,1998-09-20,3,3,23.289,DET,MIN,True,20,40,50.00,160,0,2,39.6,5,18,4.00,1.75,8,63,7.88,0,0,0,1,1,0,0,0,0,,,,,,,True,False,6,29,Charlie Batch
1998,1998-09-28,4,4,23.297,DET,TAM,True,14,23,60.87,115,0,0,73.6,1,7,5.00,5.00,8,39,4.88,1,1,6,0,,0,0,0,0,,,,,,,False,True,27,6,Charlie Batch
1998,1998-10-04,5,5,23.303,DET,CHI,True,16,31,51.61,268,2,0,102.6,4,22,8.65,9.94,8,58,7.25,0,0,0,0,,0,0,0,0,,,,,,,True,False,27,31,Charlie Batch
1998,1998-10-15,6,7,23.314,DET,GNB,True,16,19,84.21,218,2,0,149.6,3,19,11.47,13.58,3,17,5.67,0,0,0,0,,0,0,0,0,,,,,,,False,True,27,20,Charlie Batch
1998,1998-10-25,7,8,23.324,DET,MIN,True,20,37,54.05,231,1,1,70.9,4,17,6.24,5.57,2,8,4.00,0,0,0,0,,0,0,0,0,,,,,,,False,False,13,34,Charlie Batch
1998,1998-11-01,8,9,23.331,DET,ARI,True,10,17,58.82,71,0,3,28.9,3,15,4.18,-3.76,1,5,5.00,0,0,0,1,1,0,0,0,0,,,,,,,False,False,15,17,Charlie Batch
1998,1998-11-08,9,10,23.338,DET,PHI,True,14,27,51.85,146,0,0,67.8,5,35,5.41,5.41,2,6,3.00,0,0,0,0,,0,0,0,0,,,,,,,True,False,9,10,Charlie Batch
1998,1998-11-15,10,11,23.345,DET,CHI,True,16,21,76.19,253,1,0,131.6,1,7,12.05,13.00,4,5,1.25,0,0,0,0,,0,0,0,0,,,,,,,False,True,26,3,Charlie Batch
1998,1998-11-22,11,12,23.352,DET,TAM,True,14,23,60.87,195,2,0,117.1,1,7,8.48,10.22,2,8,4.00,0,0,0,0,,0,0,0,0,,,,,,,True,True,28,25,Charlie Batch
1998,1998-11-26,12,13,23.356,DET,PIT,True,16,23,69.57,236,1,0,117.3,4,32,10.26,11.13,1,3,3.00,0,0,0,0,,0,0,0,0,,,,,,,False,True,19,16,Charlie Batch
1998,1998-12-06,13,14,24.001,DET,JAX,True,14,33,42.42,250,2,0,89.2,5,38,7.58,8.79,2,17,8.50,0,0,0,0,,0,0,0,0,,,,,,,True,False,22,37,Charlie Batch
1998,1998-12-14,14,15,24.009,DET,SFO,True,3,9,33.33,35,0,0,46.1,1,5,3.89,3.89,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,13,35,Charlie Batch
1998,1998-12-20,15,16,,DET,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,17,24,Charlie Batch
1998,1998-12-27,16,17,,DET,BAL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,10,19,Charlie Batch
1999,1999-09-12,1,1,24.281,DET,SEA,True,16,26,61.54,216,3,1,110.4,5,14,8.31,8.88,3,-3,-1.00,0,0,0,0,,0,0,0,0,,,,,,,True,True,28,20,Charlie Batch
1999,1999-09-19,2,2,24.288,DET,GNB,True,9,16,56.25,219,2,2,101.0,4,23,13.69,10.56,3,9,3.00,1,1,6,0,,0,0,0,0,,,,,,,False,True,23,15,Charlie Batch
1999,1999-09-26,3,3,24.295,DET,KAN,True,16,34,47.06,213,2,2,62.5,4,20,6.26,4.79,4,12,3.00,0,0,0,0,,0,0,0,0,,,,,,,True,False,21,31,Charlie Batch
1999,1999-10-10,4,5,24.309,DET,SDG,True,21,38,55.26,230,1,1,71.2,6,38,6.05,5.39,5,20,4.00,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,20,Charlie Batch
1999,1999-10-17,5,6,24.316,DET,MIN,True,9,16,56.25,70,0,0,67.2,1,1,4.38,4.38,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,25,23,Charlie Batch
1999,1999-10-24,6,7,24.323,DET,CAR,True,16,27,59.26,210,2,1,93.1,0,0,7.78,7.59,5,13,2.60,0,0,0,0,,0,0,0,0,,,,,,,True,True,24,9,Charlie Batch
1999,1999-10-31,7,8,24.330,DET,TAM,True,10,19,52.63,128,0,0,74.0,3,19,6.74,6.74,5,15,3.00,0,0,0,0,,0,0,0,0,,,,,,,False,True,20,3,Charlie Batch
1999,1999-11-07,8,9,24.337,DET,STL,True,10,20,50.00,148,1,0,91.2,3,12,7.40,8.40,0,0,,0,0,0,1,0,0,0,0,0,,,,,,,False,True,31,27,Charlie Batch
1999,1999-11-14,9,10,,DET,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,19,23,Charlie Batch
