Player,Tm,Age,Pos,Games_G,Games_GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Lng,Receiving_R/G,Receiving_Y/G,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_1D,Rushing_Lng,Rushing_Y/A,Rushing_Y/G,Rushing_A/G,Total Yds_Touch,Total Yds_Y/Tch,Total Yds_YScm,RRTD,Fmb,ProBowl,AllPro
DeMarco Murray,DAL,26,RB,16,16,64,57,416,7.3,0,17,34,3.6,26.0,89.1%,6.5,392,1845,13,89,51,4.7,115.3,24.5,449,5.0,2261,13,5,True,True
Le'Veon Bell,PIT,22,RB,16,16,105,83,854,10.3,3,41,48,5.2,53.4,79.0%,8.1,290,1361,8,75,81,4.7,85.1,18.1,373,5.9,2215,11,0,True,True
Matt Forte,CHI,29,RB,16,16,130,102,808,7.9,4,28,56,6.4,50.5,78.5%,6.2,266,1038,6,65,32,3.9,64.9,16.6,368,5.0,1846,10,2,False,False
Antonio Brown,PIT,26,WR,16,16,181,129,1698,13.2,13,87,63,8.1,106.1,71.3%,9.4,4,13,0,0,9,3.3,0.8,0.3,133,12.9,1711,13,2,True,True
Marshawn Lynch,SEA,28,RB,16,14,48,37,367,9.9,4,16,39,2.3,22.9,77.1%,7.6,280,1306,13,67,79,4.7,81.6,17.5,317,5.3,1673,17,3,True,False
Demaryius Thomas,DEN,27,WR,16,16,184,111,1619,14.6,11,69,86,6.9,101.2,60.3%,8.8,,,,0,,,,,111,14.6,1619,11,0,True,False
Julio Jones,ATL,25,WR,15,15,163,104,1593,15.3,6,76,79,6.9,106.2,63.8%,9.8,1,1,0,1,1,1.0,0.1,0.1,105,15.2,1594,6,2,True,False
Arian Foster,HOU,28,RB,13,13,59,38,327,8.6,5,15,56,2.9,25.2,64.4%,5.5,260,1246,8,55,51,4.8,95.8,20.0,298,5.3,1573,13,2,True,False
Eddie Lacy,GNB,24,RB,16,16,55,42,427,10.2,4,18,67,2.6,26.7,76.4%,7.8,246,1139,9,60,44,4.6,71.2,15.4,288,5.4,1566,13,3,False,False
Justin Forsett,BAL,29,RB,16,14,59,44,263,6.0,0,10,26,2.8,16.4,74.6%,4.5,235,1266,8,57,52,5.4,79.1,14.7,279,5.5,1529,8,1,True,False
Jordy Nelson,GNB,29,WR,16,16,151,98,1519,15.5,13,71,80,6.1,94.9,64.9%,10.1,,,,0,,,,,98,15.5,1519,13,0,True,False
LeSean McCoy,PHI,26,RB,16,16,37,28,155,5.5,0,10,18,1.8,9.7,75.7%,4.2,312,1319,5,68,53,4.2,82.4,19.5,340,4.3,1474,5,4,True,False
Emmanuel Sanders,DEN,27,WR,16,16,141,101,1404,13.9,9,69,48,6.3,87.8,71.6%,10.0,8,44,0,3,13,5.5,2.8,0.5,109,13.3,1448,9,1,True,False
Lamar Miller,MIA,23,RB,16,16,52,38,275,7.2,1,10,20,2.4,17.2,73.1%,5.3,216,1099,8,57,97,5.1,68.7,13.5,254,5.4,1374,9,3,False,False
T.Y. Hilton,IND,25,WR,15,15,131,82,1345,16.4,7,64,73,5.5,89.7,62.6%,10.3,2,20,0,1,15,10.0,1.3,0.1,84,16.3,1365,7,3,True,False
Golden Tate,DET,26,WR,16,16,144,99,1331,13.4,4,61,73,6.2,83.2,68.8%,9.2,5,30,0,1,13,6.0,1.9,0.3,104,13.1,1361,4,1,True,False
Odell Beckham Jr.,NYG,22,WR,12,11,130,91,1305,14.3,12,58,80,7.6,108.8,70.0%,10.0,7,35,0,2,13,5.0,2.9,0.6,98,13.7,1340,12,1,True,False
Jeremy Hill,CIN,22,rb,16,8,32,27,215,8.0,0,7,38,1.7,13.4,84.4%,6.7,222,1124,9,61,85,5.1,70.3,13.9,249,5.4,1339,9,5,False,False
Jamaal Charles,KAN,28,RB,15,15,59,40,291,7.3,5,16,30,2.7,19.4,67.8%,4.9,206,1033,9,51,63,5.0,68.9,13.7,246,5.4,1324,14,5,True,False
Randall Cobb,GNB,24,WR,16,16,127,91,1287,14.1,12,71,70,5.7,80.4,71.7%,10.1,11,37,0,1,12,3.4,2.3,0.7,102,13.0,1324,12,3,True,False
Dez Bryant,DAL,26,WR,16,16,136,88,1320,15.0,16,60,68,5.5,82.5,64.7%,9.7,,,,0,,,,,88,15.0,1320,16,0,True,True
Jeremy Maclin,PHI,26,WR,16,16,143,85,1318,15.5,10,56,72,5.3,82.4,59.4%,9.2,,,,0,,,,,85,15.5,1318,10,0,False,False
Alfred Morris,WAS,26,RB,16,16,26,17,155,9.1,0,8,26,1.1,9.7,65.4%,6.0,265,1074,8,53,30,4.1,67.1,16.6,282,4.4,1229,8,2,True,False
Frank Gore,SFO,31,RB,16,16,19,11,111,10.1,1,2,55,0.7,6.9,57.9%,5.8,255,1106,4,55,52,4.3,69.1,15.9,266,4.6,1217,5,2,False,False
DeAndre Hopkins,HOU,22,WR,16,16,127,76,1210,15.9,6,57,76,4.8,75.6,59.8%,9.5,,,,0,,,,,76,15.9,1210,6,2,False,False
Joique Bell,DET,28,rb,15,6,53,34,322,9.5,1,14,28,2.3,21.5,64.2%,6.1,223,860,7,45,57,3.9,57.3,14.9,257,4.6,1182,8,5,False,False
DeSean Jackson,WAS,28,WR,15,13,95,56,1169,20.9,6,37,81,3.7,77.9,58.9%,12.3,4,7,0,1,9,1.8,0.5,0.3,60,19.6,1176,6,0,False,False
C.J. Anderson,DEN,23,RB,15,7,44,34,324,9.5,2,14,51,2.3,21.6,77.3%,7.4,179,849,8,47,27,4.7,56.6,11.9,213,5.5,1173,10,1,True,False
Alshon Jeffery,CHI,24,WR,16,16,145,85,1133,13.3,10,60,74,5.3,70.8,58.6%,7.8,6,33,0,2,12,5.5,2.1,0.4,91,12.8,1166,10,1,False,False
Rob Gronkowski,NWE,25,TE,15,10,131,82,1124,13.7,12,60,46,5.5,74.9,62.6%,8.6,,,,0,,,,,82,13.7,1124,12,0,True,True
Mark Ingram,NOR,25,RB,13,9,36,29,145,5.0,0,5,14,2.2,11.2,80.6%,4.0,226,964,9,52,31,4.3,74.2,17.4,255,4.3,1109,9,3,True,False
Calvin Johnson,DET,29,WR,13,13,128,71,1077,15.2,8,59,67,5.5,82.8,55.5%,8.4,,,,0,,,,,71,15.2,1077,8,0,True,False
Anquan Boldin,SFO,34,WR,16,16,130,83,1062,12.8,5,56,76,5.2,66.4,63.8%,8.2,1,4,0,0,4,4.0,0.3,0.1,84,12.7,1066,5,0,False,False
Julian Edelman,NWE,28,WR,14,13,134,92,972,10.6,4,50,69,6.6,69.4,68.7%,7.3,10,94,0,7,25,9.4,6.7,0.7,102,10.5,1066,4,3,False,False
Steve Smith Sr.,BAL,35,WR,16,16,134,79,1065,13.5,6,45,80,4.9,66.6,59.0%,7.9,,,,0,,,,,79,13.5,1065,6,2,False,False
