Player,Tm,Age,Pos,Games_G,Games_GS,0-19_FGA,0-19_FGM,20-29_FGA,20-29_FGM,30-39_FGA,30-39_FGM,40-49_FGA,40-49_FGM,50+_FGA,50+_FGM,Scoring_FGA,Scoring_FGM,Scoring_Lng,Scoring_FG%,Scoring_XPA,Scoring_XPM,Scoring_XP%,Kickoffs_KO,Kickoffs_KOYds,Kickoffs_TB,Kickoffs_TB%,Kickoffs_KOAvg,Punting_Pnt,Punting_Yds,Punting_Lng,Punting_Blck,Punting_Y/P,ProBowl,AllPro
David Akers,SFO,37,,16,0,2,2,16,16,14,13,11,6,9,7,52,44,55,84.6%,34,34,100.0%,93,6077,47,50.5%,65.3,,,,,,True,True
Graham Gano,WAS,24,,16,0,,,15,14,9,5,11,8,6,4,41,31,59,75.6%,26,25,96.2%,73,4426,32,43.8%,60.6,,,,,,False,False
Mike Nugent,CIN,29,,16,0,,,14,14,8,5,16,14,,,38,33,49,86.8%,34,33,97.1%,80,5215,36,45.0%,65.2,,,,,,False,False
Neil Rackers,HOU,35,,16,0,,,14,14,11,10,8,4,5,4,38,32,54,84.2%,40,39,97.5%,36,2182,15,41.7%,60.6,,,,,,False,False
Dan Bailey,DAL,23,,16,0,1,1,9,8,11,11,12,10,4,2,37,32,51,86.5%,39,39,100.0%,67,4243,24,35.8%,63.3,2,79,41,0,39.5,False,False
Billy Cundiff,BAL,31,,15,0,1,1,9,9,12,10,9,7,6,1,37,28,51,75.7%,38,38,100.0%,76,4881,44,57.9%,64.2,,,,,,False,False
Sebastian Janikowski,OAK,33,,15,0,1,1,8,8,5,5,11,10,10,7,35,31,63,88.6%,36,36,100.0%,80,4968,32,40.0%,62.1,,,,,,True,False
Dan Carpenter,MIA,26,,14,0,,,11,10,7,6,12,11,4,2,34,29,58,85.3%,26,26,100.0%,68,4420,39,57.4%,65.0,,,,,,False,False
John Kasay,NOR,42,,16,0,,,11,11,10,10,8,5,5,2,34,28,53,82.4%,63,63,100.0%,2,18,,,9.0,,,,,,False,False
Nick Novak,SDG,30,,15,0,,,11,11,5,4,11,8,7,4,34,27,53,79.4%,42,41,97.6%,86,5551,30,34.9%,64.5,,,,,,False,False
Stephen Gostkowski,NWE,27,,16,0,1,1,13,12,6,5,11,9,2,1,33,28,50,84.8%,59,59,100.0%,103,6568,41,39.8%,63.8,,,,,,False,False
Rob Bironas,TEN,33,,16,0,,,5,5,10,9,10,9,7,6,32,29,53,90.6%,34,34,100.0%,78,4847,44,56.4%,62.1,,,,,,False,False
Robbie Gould,CHI,29,,16,0,,,10,10,6,6,10,6,6,6,32,28,57,87.5%,37,37,100.0%,81,5119,43,53.1%,63.2,,,,,,False,False
Shaun Suisham,PIT,30,,16,0,2,2,8,8,8,6,11,6,2,1,31,23,51,74.2%,36,36,100.0%,72,4698,28,38.9%,65.3,,,,,,False,False
Stephen Hauschka,SEA,26,,16,0,2,2,6,5,10,9,8,7,4,2,30,25,52,83.3%,34,34,100.0%,75,4899,26,34.7%,65.3,,,,,,False,False
Ryan Succop,KAN,25,,16,0,1,1,7,7,7,6,12,7,3,3,30,24,54,80.0%,20,20,100.0%,59,3589,31,52.5%,60.8,,,,,,False,False
Matt Bryant,ATL,36,,16,0,2,2,9,9,9,9,7,5,2,2,29,27,51,93.1%,45,45,100.0%,,,,,,,,,,,False,False
Phil Dawson,CLE,36,,16,0,,,9,7,4,3,8,7,8,7,29,24,54,82.8%,20,20,100.0%,59,3661,10,16.9%,62.1,,,,,,False,False
Jason Hanson,DET,41,,16,0,,,9,9,9,8,4,2,7,5,29,24,51,82.8%,54,54,100.0%,96,6156,45,46.9%,64.1,,,,,,False,False
Connor Barth,TAM,25,,16,0,,,5,5,6,6,14,13,3,2,28,26,55,92.9%,23,23,100.0%,,,,,,,,,,,False,False
Josh Brown,STL,32,,16,0,,,7,7,7,6,12,8,2,,28,21,49,75.0%,18,18,100.0%,,,,,,,,,,,False,False
Mason Crosby,GNB,27,,16,0,1,1,5,4,14,14,5,3,3,2,28,24,58,85.7%,69,68,98.6%,108,6892,49,45.4%,63.8,,,,,,False,False
Ryan Longwell,MIN,37,,16,0,,,7,7,8,7,10,6,3,2,28,22,53,78.6%,39,38,97.4%,77,4878,19,24.7%,63.4,,,,,,False,False
Olindo Mare,CAR,38,,16,0,1,1,7,7,9,6,9,8,2,,28,22,45,78.6%,45,44,97.8%,84,5366,53,63.1%,63.9,,,,,,False,False
Alex Henery,PHI,24,,16,0,,,10,10,11,9,4,4,2,1,27,24,51,88.9%,46,46,100.0%,85,5433,32,37.6%,63.9,,,,,,False,False
Adam Vinatieri,IND,39,,16,0,,,7,7,7,6,10,8,3,2,27,23,53,85.2%,24,24,100.0%,,,,,,,,,,,False,False
Nick Folk,NYJ,27,,16,0,,,6,5,6,6,7,5,6,3,25,19,51,76.0%,44,44,100.0%,81,5094,17,21.0%,62.9,,,,,,False,False
Matt Prater,DEN,27,,16,0,,,6,5,8,8,7,3,4,3,25,19,59,76.0%,30,30,100.0%,69,4393,47,68.1%,63.7,,,,,,False,False
Josh Scobee,JAX,29,,16,0,1,1,5,5,5,5,8,7,6,5,25,23,55,92.0%,24,24,100.0%,62,4097,39,62.9%,66.1,,,,,,False,False
Jay Feely,ARI,35,,16,0,,,9,9,6,4,7,5,2,1,24,19,51,79.2%,33,33,100.0%,71,4779,22,31.0%,67.3,,,,,,False,False
Lawrence Tynes,NYG,33,,16,0,,,12,12,4,3,5,3,3,1,24,19,50,79.2%,43,43,100.0%,79,5077,34,43.0%,64.3,,,,,,False,False
Rian Lindell,BUF,34,,8,0,,,6,6,3,2,6,5,,,15,13,49,86.7%,25,25,100.0%,43,2733,12,27.9%,63.6,,,,,,False,False
Dave Rayner,2TM,29,,8,0,,,6,5,4,3,1,,4,2,15,10,56,66.7%,13,13,100.0%,30,1740,7,23.3%,58.0,,,,,,False,False
Shayne Graham,2TM,34,,3,0,,,4,4,,,3,2,,,7,6,48,85.7%,8,8,100.0%,16,1003,1,6.3%,62.7,,,,,,False,False
Mike Scifres,SDG,31,,16,0,,,,,,,1,1,,,1,1,40,100.0%,3,3,100.0%,4,239,2,50.0%,59.8,47,2234,71,0,47.5,False,False
Brandon Coutu,BUF,27,,1,0,,,,,,,1,,,,1,,,0.0%,3,3,100.0%,4,246,,,61.5,,,,,,False,False
Donnie Jones,STL,31,,16,0,,,,,,,,,,,,,,,,,,,,,,,105,4652,65,1,44.3,False,False
Britton Colquitt,DEN,26,,16,0,,,,,,,,,,,,,,,,,,1,66,,,66.0,101,4783,66,0,47.4,False,False
Jon Ryan,SEA,30,,16,0,,,,,,,,,,,,,,,,,,,,,,,95,4431,77,0,46.6,False,False
T.J. Conley,NYJ,26,,16,0,,,,,,,,,,,,,,,,,,,,,,,92,3926,63,0,42.7,False,False
Kevin Huber,CIN,26,,16,0,,,,,,,,,,,,,,,,,,,,,,,91,4023,71,0,44.2,False,False
Dustin Colquitt,KAN,29,,16,0,,,,,,,,,,,,,,,,,,1,57,,,57.0,89,4084,68,0,45.9,False,False
Adam Podlesh,CHI,28,,16,0,,,,,,,,,,,,,,,,,,1,50,,,50.0,89,3903,70,0,43.9,False,False
Pat McAfee,IND,24,,16,0,,,,,,,,,,,,,,,,,,63,4010,41,65.1%,63.7,88,4102,64,1,46.6,False,False
Dave Zastudil,ARI,33,,15,0,,,,,,,,,,,,,,,,,,3,178,,,59.3,87,3929,66,0,45.2,False,False
Brett Kern,TEN,25,,16,0,,,,,,,,,,,,,,,,,,,,,,,86,3747,64,0,43.6,False,False
Steve Weatherford,NYG,29,,16,0,,,,,,,,,,,,,,,,,,3,85,,,28.3,82,3745,62,0,45.7,False,False
Brad Maynard,CLE,37,,15,0,,,,,,,,,,,,,,,,,,,,,,,81,3282,63,0,40.5,False,False
Brandon Fields,MIA,27,,16,0,,,,,,,,,,,,,,,,,,3,156,,,52.0,78,3810,70,0,48.8,False,False
Shane Lechler,OAK,35,,16,0,,,,,,,,,,,,,,,,,,,,,,,78,3960,80,0,50.8,True,False
Andy Lee,SFO,29,,16,0,,,,,,,,,,,,,,,,,,1,51,,,51.0,78,3970,68,1,50.9,True,True
Chris Kluwe,MIN,30,,16,0,,,,,,,,,,,,,,,,,,1,36,,,36.0,77,3517,60,0,45.7,False,False
Sam Koch,BAL,29,,16,0,,,,,,,,,,,,,,,,,,2,113,1,50.0%,56.5,73,3393,63,0,46.5,False,False
Nick Harris,JAX,33,,11,0,,,,,,,,,,,,,,,,,,,,,,,72,3075,55,0,42.7,False,False
Brian Moorman,BUF,35,,16,0,,,,,,,,,,,,,,,,,,2,85,,,42.5,72,3472,66,1,48.2,False,False
Matthew Bosher,ATL,24,,16,0,,,,,,,,,,,,,,,,,,88,5671,25,28.4%,64.4,70,2990,59,1,42.7,False,False
Michael Koenen,TAM,29,,16,0,,,,,,,,,,,,,,,,,,69,4177,37,53.6%,60.5,67,3023,65,0,45.1,False,False
Jason Baker,CAR,33,,16,0,,,,,,,,,,,,,,,,,,,,,,,66,2819,56,0,42.7,False,False
Chas Henry,PHI,22,,16,0,,,,,,,,,,,,,,,,,,,,,,,66,2830,60,1,42.9,False,False
Saverio Rocca,WAS,38,,16,0,,,,,,,,,,,,,,,,,,,,,,,66,2842,63,0,43.1,False,False
Brett Hartmann,HOU,24,,12,0,,,,,,,,,,,,,,,,,,50,3275,23,46.0%,65.5,58,2573,69,0,44.4,False,False
Mat McBriar,DAL,32,,14,0,,,,,,,,,,,,,,,,,,1,62,,,62.0,58,2542,68,1,43.8,False,False
Zoltan Mesko,NWE,25,,16,0,,,,,,,,,,,,,,,,,,1,64,,,64.0,57,2648,65,0,46.5,False,False
Tim Masthay,GNB,24,,16,0,,,,,,,,,,,,,,,,,,2,113,,,56.5,55,2506,71,0,45.6,False,False
Ryan Donahue,DET,23,,8,0,,,,,,,,,,,,,,,,,,1,59,,,59.0,49,2093,60,0,42.7,False,False
Thomas Morstead,NOR,25,,16,0,,,,,,,,,,,,,,,,,,105,6807,68,64.8%,64.8,46,2224,64,1,48.3,False,False
Matt Turk,2TM,43,,9,0,,,,,,,,,,,,,,,,,,2,116,,,58.0,43,1755,65,0,40.8,False,False
Jeremy Kapinos,PIT,27,,8,0,,,,,,,,,,,,,,,,,,,,,,,34,1530,59,0,45.0,False,False
Ben Graham,2TM,38,,8,0,,,,,,,,,,,,,,,,,,,,,,,33,1447,58,0,43.8,False,False
Daniel Sepulveda,PIT,27,,8,0,,,,,,,,,,,,,,,,,,,,,,,25,1153,66,1,46.1,False,False
Chris Jones,DAL,22,,2,0,,,,,,,,,,,,,,,,,,,,,,,10,426,54,0,42.6,False,False
Richmond McGee,CLE,28,,1,0,,,,,,,,,,,,,,,,,,,,,,,8,288,48,0,36.0,False,False
Robert Malone,DET,23,,1,0,,,,,,,,,,,,,,,,,,,,,,,5,245,62,0,49.0,False,False
