Player,Tm,Age,Pos,Games_G,Games_GS,0-19_FGA,0-19_FGM,20-29_FGA,20-29_FGM,30-39_FGA,30-39_FGM,40-49_FGA,40-49_FGM,50+_FGA,50+_FGM,Scoring_FGA,Scoring_FGM,Scoring_Lng,Scoring_FG%,Scoring_XPA,Scoring_XPM,Scoring_XP%,Kickoffs_KO,Kickoffs_KOYds,Kickoffs_TB,Kickoffs_TB%,Kickoffs_KOAvg,Punting_Pnt,Punting_Yds,Punting_Lng,Punting_Blck,Punting_Y/P,ProBowl,AllPro
David Akers,SFO,38,,16,0,1,1,9,8,13,11,13,7,6,2,42,29,63,69.0%,44,44,100.0%,87,5694,40,46.0%,65.4,,,,,,False,False
Lawrence Tynes,NYG,34,,16,0,,,11,11,16,14,9,7,3,1,39,33,50,84.6%,46,46,100.0%,94,6010,24,25.5%,63.9,,,,,,False,False
Matt Bryant,ATL,37,,16,0,1,1,9,8,11,10,13,10,4,4,38,33,55,86.8%,44,44,100.0%,,,,,,,,,,,False,False
Shayne Graham,HOU,35,,16,0,1,1,8,8,11,11,9,7,9,4,38,31,51,81.6%,45,45,100.0%,91,5632,28,30.8%,61.9,,,,,,False,False
Blair Walsh,MIN,22,,16,0,,,10,10,9,8,9,7,10,10,38,35,56,92.1%,36,36,100.0%,86,5633,53,61.6%,65.5,,,,,,True,True
Jason Hanson,DET,42,,16,0,1,1,3,3,10,10,19,16,3,2,36,32,53,88.9%,38,38,100.0%,87,5282,30,34.5%,60.7,3,118,46,0,39.3,False,False
Stephen Gostkowski,NWE,28,,16,0,,,8,8,12,10,13,9,2,2,35,29,53,82.9%,66,66,100.0%,111,7061,52,46.8%,63.6,,,,,,False,False
Sebastian Janikowski,OAK,34,,16,0,1,1,9,9,10,10,5,5,9,6,34,31,57,91.2%,25,25,100.0%,73,4473,38,52.1%,61.3,,,,,,False,False
Ryan Succop,KAN,26,,16,0,,,5,4,15,12,12,10,2,2,34,28,52,82.4%,17,17,100.0%,58,3579,27,46.6%,61.7,,,,,,False,False
Connor Barth,TAM,26,,15,0,,,7,7,4,3,13,12,9,6,33,28,57,84.8%,39,39,100.0%,,,,,,,,,,,False,False
Mason Crosby,GNB,28,,16,0,,,5,5,7,5,12,9,9,2,33,21,54,63.6%,50,50,100.0%,88,5531,35,39.8%,62.9,,,,,,False,False
Justin Tucker,BAL,23,,16,0,,,8,8,8,8,13,10,4,4,33,30,56,90.9%,42,42,100.0%,88,5607,49,55.7%,63.7,,,,,,False,False
Adam Vinatieri,IND,40,,16,0,1,1,8,8,7,4,10,9,7,4,33,26,53,78.8%,37,37,100.0%,,,,,,,,,,,False,False
Matt Prater,DEN,28,,16,0,1,1,7,7,11,10,9,5,4,3,32,26,53,81.3%,55,55,100.0%,98,6254,65,66.3%,63.8,,,,,,False,False
Dan Bailey,DAL,24,,16,0,1,1,5,5,13,13,7,7,5,3,31,29,51,93.5%,37,37,100.0%,84,5089,30,35.7%,60.6,,,,,,False,False
Rob Bironas,TEN,34,,16,0,,,6,6,13,13,10,5,2,1,31,25,53,80.6%,35,35,100.0%,74,4583,37,50.0%,61.9,,,,,,False,False
Phil Dawson,CLE,37,,16,0,,,9,8,9,8,6,6,7,7,31,29,53,93.5%,29,29,100.0%,77,4820,30,39.0%,62.6,,,,,,True,False
Alex Henery,PHI,25,,16,0,,,9,8,9,8,12,11,1,,31,27,49,87.1%,26,25,96.2%,70,4405,26,37.1%,62.9,,,,,,False,False
Shaun Suisham,PIT,31,,16,0,,,8,7,8,8,12,12,3,1,31,28,52,90.3%,34,34,100.0%,75,4746,29,38.7%,63.3,,,,,,False,False
Greg Zuerlein,STL,25,,16,0,1,1,4,4,6,4,7,7,13,7,31,23,60,74.2%,26,26,100.0%,67,4388,37,55.2%,65.5,,,,,,False,False
Jay Feely,ARI,36,,16,0,,,6,6,10,9,10,8,2,2,28,25,61,89.3%,25,25,100.0%,63,3928,29,46.0%,62.3,,,,,,False,False
Josh Scobee,JAX,30,,16,0,1,1,4,4,8,8,13,11,2,1,28,25,50,89.3%,19,18,94.7%,69,4356,26,37.7%,63.1,,,,,,False,False
Dan Carpenter,MIA,27,,14,0,,,3,3,9,9,10,8,5,2,27,22,53,81.5%,26,26,100.0%,65,4169,30,46.2%,64.1,1,29,29,0,29.0,False,False
Nick Folk,NYJ,28,,16,0,,,8,7,8,6,7,5,4,3,27,21,54,77.8%,30,30,100.0%,68,4231,12,17.6%,62.2,,,,,,False,False
Stephen Hauschka,SEA,27,,16,0,1,1,7,7,10,10,5,5,4,1,27,24,52,88.9%,48,46,95.8%,87,5623,36,41.4%,64.6,,,,,,False,False
Robbie Gould,CHI,30,,13,0,,,7,7,7,5,9,7,2,2,25,21,54,84.0%,33,33,100.0%,66,4306,38,57.6%,65.2,,,,,,False,False
Rian Lindell,BUF,35,,16,0,1,1,3,3,11,10,7,6,2,1,24,21,50,87.5%,39,39,100.0%,47,2878,7,14.9%,61.2,,,,,,False,False
Mike Nugent,CIN,30,,12,0,2,2,5,5,5,5,9,6,2,1,23,19,55,82.6%,35,35,100.0%,65,4252,21,32.3%,65.4,,,,,,False,False
