Player,Tm,Age,Pos,Games_G,Games_GS,0-19_FGA,0-19_FGM,20-29_FGA,20-29_FGM,30-39_FGA,30-39_FGM,40-49_FGA,40-49_FGM,50+_FGA,50+_FGM,Scoring_FGA,Scoring_FGM,Scoring_Lng,Scoring_FG%,Scoring_XPA,Scoring_XPM,Scoring_XP%,Kickoffs_KO,Kickoffs_KOYds,Kickoffs_TB,Kickoffs_TB%,Kickoffs_KOAvg,Punting_Pnt,Punting_Yds,Punting_Lng,Punting_Blck,Punting_Y/P,ProBowl,AllPro
Daniel Carlson,LVR,26,k,17,0,,,11,10,12,12,13,12,7,6,43,40,56,93.0%,33,30,90.9%,87,5560,53,60.9%,63.9,,,,,,False,False
Chris Boswell,PIT,30,k,17,0,,,9,9,9,8,13,11,9,8,40,36,56,90.0%,29,27,93.1%,86,5464,40,46.5%,63.5,,,,,,False,False
Nick Folk,NWE,37,k,17,0,,,9,9,11,11,11,11,8,5,39,36,53,92.3%,47,42,89.4%,12,725,3,25.0%,60.4,,,,,,False,False
Greg Joseph,MIN,27,k,17,0,,,8,8,12,11,9,7,9,7,38,33,55,86.8%,40,36,90.0%,94,6004,76,80.9%,63.9,,,,,,False,False
Matt Prater,ARI,37,k,17,0,,,11,11,11,9,5,3,10,7,37,30,62,81.1%,49,47,95.9%,97,6013,73,75.3%,62.0,,,,,,False,False
Justin Tucker,BAL,32,k,17,0,,,7,7,9,9,15,13,6,6,37,35,66,94.6%,32,32,100.0%,90,5443,47,52.2%,60.5,,,,,,True,True
Greg Zuerlein,DAL,34,k,16,0,,,5,5,16,15,9,7,5,2,35,29,56,82.9%,48,42,87.5%,100,6421,80,80.0%,64.2,,,,,,False,False
Mason Crosby,GNB,37,k,17,0,,,9,9,13,9,8,4,4,3,34,25,54,73.5%,51,49,96.1%,94,6030,43,45.7%,64.1,,,,,,False,False
Matt Gay,LAR,27,k,17,0,,,6,6,15,15,8,7,5,4,34,32,55,94.1%,49,48,98.0%,102,6309,65,63.7%,61.9,,,,,,True,False
Dustin Hopkins,2TM,31,,17,0,1,1,8,8,6,6,14,13,5,2,34,30,50,88.2%,44,40,90.9%,100,6298,71,71.0%,63.0,,,,,,False,False
Jake Elliott,PHI,26,k,17,0,,,7,7,10,10,13,10,3,3,33,30,58,90.9%,44,44,100.0%,96,6071,61,63.5%,63.2,,,,,,False,False
Graham Gano,NYG,34,k,17,0,,,5,5,13,12,5,5,10,7,33,29,55,87.9%,17,17,100.0%,63,3901,26,41.3%,61.9,,,,,,False,False
Evan McPherson,CIN,22,k,16,0,,,5,5,8,8,9,6,11,9,33,28,58,84.8%,48,46,95.8%,91,5814,55,60.4%,63.9,,,,,,False,False
Tyler Bass,BUF,24,k,17,0,,,15,15,8,7,5,4,4,2,32,28,57,87.5%,51,51,100.0%,99,6213,56,56.6%,62.8,,,,,,False,False
Randy Bullock,TEN,32,k,16,0,,,5,5,12,12,13,8,1,1,31,26,51,83.9%,45,42,93.3%,89,5682,50,56.2%,63.8,,,,,,False,False
Brandon McManus,DEN,30,k,17,0,,,8,7,6,6,8,8,9,5,31,26,61,83.9%,34,33,97.1%,78,4975,62,79.5%,63.8,,,,,,False,False
