Player,Tm,Age,Pos,Games_G,Games_GS,0-19_FGA,0-19_FGM,20-29_FGA,20-29_FGM,30-39_FGA,30-39_FGM,40-49_FGA,40-49_FGM,50+_FGA,50+_FGM,Scoring_FGA,Scoring_FGM,Scoring_Lng,Scoring_FG%,Scoring_XPA,Scoring_XPM,Scoring_XP%,Kickoffs_KO,Kickoffs_KOYds,Kickoffs_TB,Kickoffs_TB%,Kickoffs_KOAvg,Punting_Pnt,Punting_Yds,Punting_Lng,Punting_Blck,Punting_Y/P,ProBowl,AllPro
Jordan Berry,PIT,28,,16,0,,,,,,,,,,,,,,,,,,3,183,,,61.0,74,3368,69,0,45.5,False,False
Michael Dickson,SEA,23,,16,0,,,,,,,,,,,,,,,,,,,,,,,74,3341,63,0,45.1,False,False
Cameron Johnston,PHI,27,,16,0,,,,,,,,,,,,,,,,,,,,,,,71,3292,61,0,46.4,False,False
Riley Dixon,NYG,26,,16,0,,,,,,,,,,,,,,,,,,1,52,,,52.0,69,3178,62,2,46.1,False,False
Matt Haack,MIA,25,,16,0,,,,,,,,,,,,,,,,,,2,109,,,54.5,69,3105,62,0,45.0,False,False
AJ Cole III,OAK,24,,16,0,,,,,,,,,,,,,,,,,,,,,,,67,3081,74,0,46.0,False,False
Johnny Hekker,LAR,29,,16,0,,,,,,,,,,,,,,,,,,2,76,1,50.0%,38.0,66,3128,71,1,47.4,False,False
Jamie Gillan,CLE,22,,16,0,,,,,,,,,,,,,,,,,,4,150,,,37.5,63,2913,71,1,46.2,False,False
Britton Colquitt,MIN,34,,16,0,,,,,,,,,,,,,,,,,,1,63,,,63.0,62,2802,59,0,45.2,False,False
Andy Lee,ARI,37,,15,0,,,,,,,,,,,,,,,,,,,,,,,61,2913,64,1,47.8,False,False
Thomas Morstead,NOR,33,,16,0,,,,,,,,,,,,,,,,,,1,46,,,46.0,60,2770,64,0,46.2,False,False
Rigoberto Sanchez,IND,25,,16,0,,,,,,,,,,,,,,,,,,79,5101,60,75.9%,64.6,59,2619,60,0,44.4,False,False
Bradley Pinion,TAM,25,,16,0,,,,,,,,,,,,,,,,,,97,6303,88,90.7%,65.0,57,2464,63,0,43.2,False,False
Mitch Wishnowsky,SFO,27,,16,0,,,,,,,,,,,,,,,,,,96,6105,49,51.0%,63.6,52,2333,65,0,44.9,False,False
Chris Jones,DAL,30,,16,0,,,,,,,,,,,,,,,,,,,,,,,50,2079,58,1,41.6,False,False
Dustin Colquitt,KAN,37,,16,0,,,,,,,,,,,,,,,,,,,,,,,48,2126,68,1,44.3,False,False
Bryan Anger,HOU,31,,14,0,,,,,,,,,,,,,,,,,,1,73,,,73.0,45,2094,71,0,46.5,False,False
Sam Koch,BAL,37,,16,0,,,,,,,,,,,,,,,,,,,,,,,40,1855,62,1,46.4,False,False
Ryan Allen,ATL,29,,8,0,,,,,,,,,,,,,,,,,,,,,,,28,1172,59,0,41.9,False,False
Trevor Daniel,HOU,25,,2,0,,,,,,,,,,,,,,,,,,,,,,,11,479,54,0,43.5,False,False
Matthew Bosher,ATL,32,p,3,0,,,,,,,,,,,,,,,,,,6,318,4,66.7%,53.0,9,377,52,1,41.9,False,False
Kasey Redfern,ATL,28,,3,0,,,,,,,,,,,,,,,,,,15,818,9,60.0%,54.5,9,371,54,0,41.2,False,False
Matt Wile,ATL,27,,2,0,,,,,,,,,,,,,,,,,,11,633,7,63.6%,57.5,6,290,60,0,48.3,False,False
Ryan Winslow,ARI,25,,2,0,,,,,,,,,,,,,,,,,,,,,,,6,291,55,0,48.5,False,False
Greg Joseph,TEN,25,,2,0,,,,,,,,,,,,,,,9,9,100.0%,11,689,6,54.5%,62.6,,,,,,False,False
