Player,Tm,Age,Pos,Games_G,Games_GS,0-19_FGA,0-19_FGM,20-29_FGA,20-29_FGM,30-39_FGA,30-39_FGM,40-49_FGA,40-49_FGM,50+_FGA,50+_FGM,Scoring_FGA,Scoring_FGM,Scoring_Lng,Scoring_FG%,Scoring_XPA,Scoring_XPM,Scoring_XP%,Kickoffs_KO,Kickoffs_KOYds,Kickoffs_TB,Kickoffs_TB%,Kickoffs_KOAvg,Punting_Pnt,Punting_Yds,Punting_Lng,Punting_Blck,Punting_Y/P,ProBowl,AllPro
Greg Zuerlein,DAL,33,,16,0,1,1,5,5,13,13,13,12,9,3,41,34,59,82.9%,36,33,91.7%,90,5589,60,66.7%,62.1,,,,,,False,False
Younghoe Koo,ATL,26,,15,0,,,10,10,12,11,9,8,8,8,39,37,54,94.9%,36,33,91.7%,66,4160,28,42.4%,63.0,,,,,,True,False
Jason Sanders,MIA,25,,16,0,1,1,8,8,7,7,14,12,9,8,39,36,56,92.3%,36,36,100.0%,91,5540,64,70.3%,60.9,,,,,,False,True
Rodrigo Blankenship,IND,23,,16,0,,,10,10,13,12,11,9,3,1,37,32,53,86.5%,45,43,95.6%,20,1267,13,65.0%,63.4,,,,,,False,False
Joey Slye,CAR,24,,16,0,,,12,11,10,10,8,7,6,1,36,29,56,80.6%,36,33,91.7%,81,5095,71,87.7%,62.9,,,,,,False,False
Daniel Carlson,LVR,25,,16,0,,,18,18,8,8,5,3,4,4,35,33,54,94.3%,47,45,95.7%,95,5966,61,64.2%,62.8,,,,,,False,False
Tyler Bass,BUF,23,,16,0,1,1,9,9,9,6,9,8,6,4,34,28,58,82.4%,59,57,96.6%,101,6469,71,70.3%,64.0,,,,,,False,False
Dustin Hopkins,WAS,30,,16,0,,,5,5,8,7,17,13,4,2,34,27,51,79.4%,32,30,93.8%,78,4808,65,83.3%,61.6,,,,,,False,False
Brandon McManus,DEN,29,,15,0,,,6,6,5,4,8,8,15,10,34,28,58,82.4%,27,24,88.9%,73,4516,54,74.0%,61.9,,,,,,False,False
Michael Badgley,LAC,25,,16,0,,,8,8,6,6,13,8,6,2,33,24,53,72.7%,39,36,92.3%,3,177,,,59.0,,,,,,False,False
Graham Gano,NYG,33,,16,0,,,3,3,11,11,9,9,6,5,32,31,55,96.9%,23,21,91.3%,73,4357,30,41.1%,59.7,,,,,,False,False
Cairo Santos,CHI,29,,16,0,,,9,9,10,10,10,9,3,2,32,30,55,93.8%,37,36,97.3%,86,5252,42,48.8%,61.1,,,,,,False,False
Ka'imi Fairbairn,HOU,26,,16,0,,,8,8,9,9,8,6,6,4,31,27,54,87.1%,40,37,92.5%,85,5343,52,61.2%,62.9,1,26,26,0,26.0,False,False
Ryan Succop,TAM,34,,16,0,1,1,10,10,9,9,9,7,2,1,31,28,50,90.3%,57,52,91.2%,1,16,,,16.0,,,,,,False,False
Justin Tucker,BAL,31,,16,0,,,8,8,7,6,9,9,5,3,29,26,55,89.7%,53,52,98.1%,95,6094,65,68.4%,64.1,,,,,,True,False
Nick Folk,NWE,36,,16,0,,,6,6,7,7,12,11,3,2,28,26,51,92.9%,33,30,90.9%,3,172,,,57.3,,,,,,False,False
Wil Lutz,NOR,26,,16,0,,,6,5,10,10,9,7,3,1,28,23,53,82.1%,58,57,98.3%,94,5929,71,75.5%,63.1,,,,,,False,False
Matt Prater,DET,36,,16,0,,,4,4,7,7,7,4,10,6,28,21,59,75.0%,41,38,92.7%,18,1065,7,38.9%,59.2,,,,,,False,False
Harrison Butker,KAN,25,,16,0,2,2,7,7,9,9,5,3,4,4,27,25,58,92.6%,54,48,88.9%,95,6027,72,75.8%,63.4,,,,,,False,False
Randy Bullock,CIN,31,,12,0,,,3,3,10,8,8,7,5,3,26,21,55,80.8%,25,24,96.0%,58,3617,43,74.1%,62.4,,,,,,False,False
Stephen Gostkowski,TEN,36,,15,0,,,3,2,5,4,10,5,8,7,26,18,55,69.2%,48,46,95.8%,86,5341,51,59.3%,62.1,,,,,,False,False
Jason Myers,SEA,29,,16,0,,,2,2,7,7,13,13,2,2,24,24,61,100.0%,53,49,92.5%,91,5792,52,57.1%,63.6,,,,,,False,False
Robbie Gould,SFO,38,,15,0,,,3,3,6,5,10,9,4,2,23,19,52,82.6%,38,36,94.7%,13,577,1,7.7%,44.4,,,,,,False,False
Dan Bailey,MIN,32,,16,0,,,6,6,4,3,7,4,5,2,22,15,53,68.2%,43,37,86.0%,83,4948,53,63.9%,59.6,,,,,,False,False
Zane Gonzalez,ARI,25,,12,0,,,4,4,2,2,13,8,3,2,22,16,56,72.7%,39,38,97.4%,65,4112,36,55.4%,63.3,,,,,,False,False
Cody Parkey,CLE,28,,15,0,,,5,5,6,4,11,10,,,22,19,46,86.4%,47,43,91.5%,81,5140,45,55.6%,63.5,,,,,,False,False
Chris Boswell,PIT,29,,13,0,,,5,5,6,6,8,7,1,1,20,19,59,95.0%,38,34,89.5%,73,4622,44,60.3%,63.3,,,,,,False,False
Jake Elliott,PHI,25,,16,0,,,3,1,6,6,5,5,5,2,19,14,54,73.7%,26,24,92.3%,73,4508,46,63.0%,61.8,2,77,42,0,38.5,False,False
