Player,Tm,Age,Pos,Games_G,Games_GS,0-19_FGA,0-19_FGM,20-29_FGA,20-29_FGM,30-39_FGA,30-39_FGM,40-49_FGA,40-49_FGM,50+_FGA,50+_FGM,Scoring_FGA,Scoring_FGM,Scoring_Lng,Scoring_FG%,Scoring_XPA,Scoring_XPM,Scoring_XP%,Kickoffs_KO,Kickoffs_KOYds,Kickoffs_TB,Kickoffs_TB%,Kickoffs_KOAvg,Punting_Pnt,Punting_Yds,Punting_Lng,Punting_Blck,Punting_Y/P,ProBowl,AllPro
Nick Folk,NYJ,30,,16,0,,,13,13,7,7,13,9,6,3,39,32,55,82.1%,23,23,100.0%,69,4340,21,30.4%,62.9,,,,,,False,False
Dan Carpenter,BUF,29,,16,0,,,10,10,12,11,8,7,8,6,38,34,58,89.5%,32,31,96.9%,,,,,,,,,,,False,False
Stephen Gostkowski,NWE,30,,16,0,1,1,11,11,11,10,13,12,1,1,37,35,53,94.6%,51,51,100.0%,99,6328,53,53.5%,63.9,,,,,,True,False
Stephen Hauschka,SEA,29,,16,0,,,10,10,10,10,13,9,4,2,37,31,58,83.8%,41,41,100.0%,88,5728,46,52.3%,65.1,,,,,,False,False
Caleb Sturgis,MIA,25,,16,0,1,1,12,12,8,7,10,6,6,3,37,29,53,78.4%,41,41,100.0%,85,5448,37,43.5%,64.1,,,,,,False,False
Cody Parkey,PHI,22,,16,0,,,10,10,16,14,6,4,4,4,36,32,54,88.9%,54,54,100.0%,98,6401,46,46.9%,65.3,,,,,,True,False
Randy Bullock,HOU,25,,16,0,,,7,6,15,13,8,7,5,4,35,30,55,85.7%,40,40,100.0%,86,5613,40,46.5%,65.3,,,,,,False,False
Graham Gano,CAR,27,,16,0,,,7,7,14,13,11,8,3,1,35,29,53,82.9%,34,34,100.0%,79,5196,61,77.2%,65.8,,,,,,False,False
Blair Walsh,MIN,24,,16,0,2,2,5,4,10,8,9,7,9,5,35,26,55,74.3%,29,29,100.0%,76,4792,48,63.2%,63.1,,,,,,False,False
Justin Tucker,BAL,25,,16,0,,,10,10,11,11,4,4,9,4,34,29,55,85.3%,42,42,100.0%,88,5704,60,68.2%,64.8,,,,,,False,False
Chandler Catanzaro,ARI,23,,16,0,,,5,5,14,12,11,10,3,2,33,29,51,87.9%,27,27,100.0%,76,5054,38,50.0%,66.5,,,,,,False,False
Mason Crosby,GNB,30,,16,0,,,7,7,11,10,8,6,7,4,33,27,55,81.8%,55,53,96.4%,102,6288,41,40.2%,61.6,,,,,,False,False
Mike Nugent,CIN,32,,16,0,,,6,6,12,10,12,10,3,,33,26,49,78.8%,39,39,100.0%,81,5316,37,45.7%,65.6,,,,,,False,False
Matt Bryant,ATL,39,,16,0,,,10,10,4,4,8,8,10,7,32,29,54,90.6%,40,40,100.0%,,,,,,,,,,,False,False
Shaun Suisham,PIT,33,,16,0,,,13,12,6,6,10,10,3,1,32,29,53,90.6%,45,45,100.0%,89,5552,32,36.0%,62.4,,,,,,False,False
Phil Dawson,SFO,39,,16,0,,,6,6,9,8,7,5,9,6,31,25,55,80.6%,33,33,100.0%,73,4721,32,43.8%,64.7,,,,,,False,False
Adam Vinatieri,IND,42,,16,0,,,10,10,10,10,8,7,3,3,31,30,53,96.8%,50,50,100.0%,,,,,,,,,,,True,True
Cairo Santos,KAN,23,,16,0,1,1,10,10,6,5,11,8,2,1,30,25,53,83.3%,38,38,100.0%,80,5085,26,32.5%,63.6,,,,,,False,False
Greg Zuerlein,STL,27,,16,0,1,1,7,6,12,10,3,2,7,5,30,24,56,80.0%,35,34,97.1%,73,4862,38,52.1%,66.6,,,,,,False,False
Dan Bailey,DAL,26,,16,0,,,6,6,7,6,9,8,7,5,29,25,56,86.2%,56,56,100.0%,98,6175,52,53.1%,63.0,,,,,,False,False
Billy Cundiff,CLE,34,,13,0,,,6,6,13,10,7,5,3,1,29,22,52,75.9%,28,28,100.0%,63,4169,39,61.9%,66.2,,,,,,False,False
Kai Forbath,WAS,27,,16,0,,,11,11,7,6,8,7,1,,27,24,49,88.9%,32,31,96.9%,54,3309,18,33.3%,61.3,,,,,,False,False
Nick Novak,SDG,33,,16,0,1,1,6,6,9,8,6,4,4,3,26,22,52,84.6%,40,40,100.0%,78,4751,10,12.8%,60.9,6,240,51,0,40.0,False,False
Josh Brown,NYG,35,,16,0,1,1,7,6,9,9,5,4,4,4,26,24,53,92.3%,44,44,100.0%,82,5021,46,56.1%,61.2,,,,,,False,False
Matt Prater,DET,30,,11,0,,,8,8,5,4,8,6,5,3,26,21,52,80.8%,21,21,100.0%,,,,,,,,,,,False,False
Josh Scobee,JAX,32,,16,0,,,3,3,8,7,9,7,6,3,26,20,53,76.9%,23,23,100.0%,63,3819,37,58.7%,60.6,,,,,,False,False
Patrick Murray,TAM,23,,16,0,,,3,2,8,7,7,6,6,5,24,20,55,83.3%,31,31,100.0%,,,,,,,,,,,False,False
Shayne Graham,NOR,37,,16,0,,,6,6,9,9,5,3,2,1,22,19,50,86.4%,47,46,97.9%,2,20,,,10.0,,,,,,False,False
Sebastian Janikowski,OAK,36,,16,0,,,2,2,6,5,9,9,5,3,22,19,57,86.4%,28,28,100.0%,61,3723,34,55.7%,61.0,,,,,,False,False
Ryan Succop,TEN,28,,16,0,,,5,5,7,7,8,5,2,2,22,19,51,86.4%,27,27,100.0%,63,3967,31,49.2%,63.0,,,,,,False,False
Connor Barth,DEN,28,,5,0,2,2,4,4,5,5,4,3,1,1,16,15,50,93.8%,15,15,100.0%,8,456,,,57.0,,,,,,False,False
Brandon McManus,DEN,23,,15,0,,,5,5,3,2,3,2,2,,13,9,44,69.2%,41,41,100.0%,91,5981,64,70.3%,65.7,,,,,,False,False
Robbie Gould,CHI,32,,12,0,,,4,4,3,2,4,3,1,,12,9,45,75.0%,29,28,96.6%,53,3179,21,39.6%,60.0,,,,,,False,False
Nate Freese,DET,24,,3,0,,,2,2,1,1,4,,,,7,3,30,42.9%,6,6,100.0%,,,,,,,,,,,False,False
Alex Henery,DET,27,,2,0,,,,,,,2,,3,1,5,1,51,20.0%,5,5,100.0%,,,,,,,,,,,False,False
Jay Feely,CHI,38,,4,0,,,1,1,1,1,2,1,,,4,3,48,75.0%,6,5,83.3%,14,580,3,21.4%,41.4,,,,,,False,False
Garrett Hartley,CLE,28,,2,0,,,,,2,2,1,1,,,3,3,43,100.0%,2,2,100.0%,2,123,,,61.5,,,,,,False,False
Marquette King,OAK,26,,16,0,,,,,,,,,,,,,,,,,,,,,,,109,4930,62,0,45.2,False,False
Bryan Anger,JAX,26,,16,0,,,,,,,,,,,,,,,,,,2,136,,,68.0,94,4464,69,2,47.5,False,False
Spencer Lanning,CLE,26,,16,0,,,,,,,,,,,,,,,,,,6,387,1,16.7%,64.5,93,4119,59,0,44.3,False,False
Brett Kern,TEN,28,,16,0,,,,,,,,,,,,,,,,,,2,119,,,59.5,88,4118,79,1,46.8,False,False
Colton Schmidt,BUF,24,,16,0,,,,,,,,,,,,,,,,,,2,101,,,50.5,86,3692,67,0,42.9,False,False
Shane Lechler,HOU,38,,16,0,,,,,,,,,,,,,,,,,,1,67,,,67.0,83,3845,71,1,46.3,False,False
Johnny Hekker,STL,24,,16,0,,,,,,,,,,,,,,,,,,2,30,,,15.0,80,3721,61,1,46.5,False,False
Steve Weatherford,NYG,32,,16,0,,,,,,,,,,,,,,,,,,,,,,,80,3640,71,1,45.5,False,False
Drew Butler,ARI,25,,15,0,,,,,,,,,,,,,,,,,,,,,,,79,3328,67,2,42.1,False,False
Michael Koenen,TAM,32,,16,0,,,,,,,,,,,,,,,,,,69,4429,31,44.9%,64.2,78,3154,56,1,40.4,False,False
Ryan Quigley,NYJ,24,,16,0,,,,,,,,,,,,,,,,,,5,315,,,63.0,78,3580,69,1,45.9,False,False
Tress Way,WAS,24,,16,0,,,,,,,,,,,,,,,,,,18,1174,9,50.0%,65.2,77,3659,77,1,47.5,False,False
Donnie Jones,PHI,34,,16,0,,,,,,,,,,,,,,,,,,,,,,,76,3331,68,0,43.8,False,False
Jeff Locke,MIN,25,,16,0,,,,,,,,,,,,,,,,,,1,50,,,50.0,75,3318,62,1,44.2,False,False
Kevin Huber,CIN,29,,16,0,,,,,,,,,,,,,,,,,,,,,,,73,3419,69,0,46.8,True,False
Andy Lee,SFO,32,,16,0,,,,,,,,,,,,,,,,,,,,,,,72,3369,71,1,46.8,False,False
Brad Nortman,CAR,25,,16,0,,,,,,,,,,,,,,,,,,,,,,,72,3236,72,2,44.9,False,False
Dustin Colquitt,KAN,32,,16,0,,,,,,,,,,,,,,,,,,1,71,,,71.0,71,3164,69,0,44.6,False,False
Pat O'Donnell,CHI,23,,16,0,,,,,,,,,,,,,,,,,,1,65,1,100.0%,65.0,71,3107,61,1,43.8,False,False
Britton Colquitt,DEN,29,,16,0,,,,,,,,,,,,,,,,,,,,,,,69,3048,65,0,44.2,False,False
Pat McAfee,IND,27,,16,0,,,,,,,,,,,,,,,,,,99,6335,70,70.7%,64.0,69,3221,61,0,46.7,True,True
Sam Martin,DET,24,,16,0,,,,,,,,,,,,,,,,,,75,4803,53,70.7%,64.0,68,3138,71,0,46.1,False,False
Matthew Bosher,ATL,27,,16,0,,,,,,,,,,,,,,,,,,83,5172,46,55.4%,62.3,67,3063,66,0,45.7,False,False
Ryan Allen,NWE,24,,16,0,,,,,,,,,,,,,,,,,,,,,,,66,3060,67,1,46.4,False,False
Jon Ryan,SEA,33,,16,0,,,,,,,,,,,,,,,,,,1,79,,,79.0,61,2688,66,1,44.1,False,False
Brad Wing,PIT,23,,16,0,,,,,,,,,,,,,,,,,,,,,,,61,2667,74,0,43.7,False,False
Sam Koch,BAL,32,,16,0,,,,,,,,,,,,,,,,,,,,,,,60,2841,73,1,47.4,False,False
Brandon Fields,MIA,30,,16,0,,,,,,,,,,,,,,,,,,,,,,,58,2688,60,1,46.3,False,False
Thomas Morstead,NOR,28,,16,0,,,,,,,,,,,,,,,,,,79,5238,40,50.6%,66.3,58,2690,63,0,46.4,False,False
Chris Jones,DAL,25,,16,0,,,,,,,,,,,,,,,,,,1,57,,,57.0,57,2586,64,1,45.4,False,False
Mike Scifres,SDG,34,,13,0,,,,,,,,,,,,,,,,,,,,,,,55,2516,72,1,45.7,False,False
Tim Masthay,GNB,27,,16,0,,,,,,,,,,,,,,,,,,2,119,,,59.5,49,2159,63,2,44.1,False,False
Mat McBriar,SDG,35,,3,0,,,,,,,,,,,,,,,,,,,,,,,13,610,58,0,46.9,False,False
Dave Zastudil,ARI,36,,2,0,,,,,,,,,,,,,,,,,,,,,,,11,487,53,0,44.3,False,False
