Player,Tm,Age,Pos,Games_G,Games_GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Lng,Receiving_R/G,Receiving_Y/G,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_1D,Rushing_Lng,Rushing_Y/A,Rushing_Y/G,Rushing_A/G,Total Yds_Touch,Total Yds_Y/Tch,Total Yds_YScm,RRTD,Fmb,ProBowl,AllPro
Arian Foster,HOU,24,RB,16,13,84,66,604,9.2,2,34,50,4.1,37.8,78.6%,7.2,327,1616,16,90,74,4.9,101.0,20.4,393,5.6,2220,18,3,True,True
Jamaal Charles,KAN,24,rb,16,6,64,45,468,10.4,3,22,31,2.8,29.3,70.3%,7.3,230,1467,5,70,80,6.4,91.7,14.4,275,7.0,1935,8,3,True,True
Ray Rice,BAL,23,RB,16,14,83,63,556,8.8,1,23,34,3.9,34.8,75.9%,6.7,307,1220,5,53,50,4.0,76.3,19.2,370,4.8,1776,6,0,False,False
LeSean McCoy,PHI,22,RB,15,13,91,78,592,7.6,2,29,40,5.2,39.5,85.7%,6.5,207,1080,7,46,62,5.2,72.0,13.8,285,5.9,1672,9,2,False,False
Darren McFadden,OAK,23,RB,13,13,61,47,507,10.8,3,22,67,3.6,39.0,77.0%,8.3,223,1157,7,46,57,5.2,89.0,17.2,270,6.2,1664,10,4,False,False
Peyton Hillis,CLE,24,RB,16,14,77,61,477,7.8,2,25,47,3.8,29.8,79.2%,6.2,270,1177,11,58,48,4.4,73.6,16.9,331,5.0,1654,13,8,False,False
Maurice Jones-Drew,JAX,25,RB,14,14,44,34,317,9.3,2,13,75,2.4,22.6,77.3%,7.2,299,1324,5,74,37,4.4,94.6,21.4,333,4.9,1641,7,2,True,False
Adrian Peterson,MIN,25,RB,15,15,50,36,341,9.5,1,17,34,2.4,22.7,72.0%,6.8,283,1298,12,71,80,4.6,86.5,18.9,319,5.1,1639,13,1,True,False
Steven Jackson,STL,27,RB,16,16,62,46,383,8.3,0,14,49,2.9,23.9,74.2%,6.2,330,1241,6,60,42,3.8,77.6,20.6,376,4.3,1624,6,1,True,False
Matt Forte,CHI,25,RB,16,16,70,51,547,10.7,3,21,89,3.2,34.2,72.9%,7.8,237,1069,6,43,68,4.5,66.8,14.8,288,5.6,1616,9,3,False,False
Chris Johnson,TEN,25,RB,16,16,57,44,245,5.6,1,9,25,2.8,15.3,77.2%,4.3,316,1364,11,57,76,4.3,85.3,19.8,360,4.5,1609,12,3,True,False
Ahmad Bradshaw,NYG,24,RB,16,11,58,47,314,6.7,0,18,18,2.9,19.6,81.0%,5.4,276,1235,8,53,48,4.5,77.2,17.3,323,4.8,1549,8,7,False,False
Michael Turner,ATL,28,RB,16,15,20,12,85,7.1,0,2,19,0.8,5.3,60.0%,4.3,334,1371,12,75,55,4.1,85.7,20.9,346,4.2,1456,12,2,True,False
Rashard Mendenhall,PIT,23,RB,16,16,34,23,167,7.3,0,6,24,1.4,10.4,67.6%,4.9,324,1273,13,61,50,3.9,79.6,20.3,347,4.1,1440,13,2,False,False
Brandon Lloyd,DEN,29,WR,16,11,153,77,1448,18.8,11,72,71,4.8,90.5,50.3%,9.5,1,-18,0,0,-18,-18.0,-1.1,0.1,78,18.3,1430,11,0,True,False
Roddy White,ATL,29,WR,16,16,179,115,1389,12.1,10,73,46,7.2,86.8,64.2%,7.8,1,3,0,0,3,3.0,0.2,0.1,116,12.0,1392,10,1,True,True
Reggie Wayne,IND,32,WR,16,16,175,111,1355,12.2,6,72,50,6.9,84.7,63.4%,7.7,,,,0,,,,,111,12.2,1355,6,1,True,True
Frank Gore,SFO,27,RB,11,11,72,46,452,9.8,2,15,41,4.2,41.1,63.9%,6.3,203,853,3,42,64,4.2,77.5,18.5,249,5.2,1305,5,4,False,False
Mike Wallace,PIT,24,WR,16,16,98,60,1257,21.0,10,48,56,3.8,78.6,61.2%,12.8,5,39,0,2,19,7.8,2.4,0.3,65,19.9,1296,10,1,False,False
Cedric Benson,CIN,28,RB,16,16,37,28,178,6.4,1,9,24,1.8,11.1,75.7%,4.8,321,1111,7,59,26,3.5,69.4,20.1,349,3.7,1289,8,7,False,False
LaDainian Tomlinson,NYJ,31,RB,15,13,79,52,368,7.1,0,19,21,3.5,24.5,65.8%,4.7,219,914,6,43,31,4.2,60.9,14.6,271,4.7,1282,6,4,False,False
Greg Jennings,GNB,27,WR,16,16,125,76,1265,16.6,12,51,86,4.8,79.1,60.8%,10.1,1,-1,0,0,-1,-1.0,-0.1,0.1,77,16.4,1264,12,2,True,False
Felix Jones,DAL,23,rb,16,7,52,48,450,9.4,1,11,71,3.0,28.1,92.3%,8.7,185,800,1,41,34,4.3,50.0,11.6,233,5.4,1250,2,2,False,False
Andre Johnson,HOU,29,WR,13,13,138,86,1216,14.1,8,59,60,6.6,93.5,62.3%,8.8,2,10,0,1,7,5.0,0.8,0.2,88,13.9,1226,8,1,True,False
Dwayne Bowe,KAN,26,WR,16,16,133,72,1162,16.1,15,55,75,4.5,72.6,54.1%,8.7,1,4,0,0,4,4.0,0.3,0.1,73,16.0,1166,15,1,True,False
DeSean Jackson,PHI,24,WR,14,14,95,47,1056,22.5,6,32,91,3.4,75.4,49.5%,11.1,16,104,1,5,31,6.5,7.4,1.1,63,18.4,1160,7,4,True,False
Calvin Johnson,DET,25,WR,15,15,137,77,1120,14.5,12,54,87,5.1,74.7,56.2%,8.2,4,32,0,2,15,8.0,2.1,0.3,81,14.2,1152,12,1,True,False
Knowshon Moreno,DEN,23,RB,13,13,48,37,372,10.1,3,15,45,2.8,28.6,77.1%,7.8,182,779,5,35,35,4.3,59.9,14.0,219,5.3,1151,8,3,False,False
Fred Jackson,BUF,29,RB,16,13,54,31,215,6.9,2,9,65,1.9,13.4,57.4%,4.0,222,927,5,40,39,4.2,57.9,13.9,253,4.5,1142,7,5,False,False
Larry Fitzgerald,ARI,27,WR,16,15,173,90,1137,12.6,6,58,41,5.6,71.1,52.0%,6.6,,,,0,,,,,90,12.6,1137,6,0,True,False
Miles Austin,DAL,26,WR,16,16,119,69,1041,15.1,7,46,69,4.3,65.1,58.0%,8.7,7,93,1,3,60,13.3,5.8,0.4,76,14.9,1134,8,1,True,False
Santana Moss,WAS,31,WR,16,16,145,93,1115,12.0,6,61,56,5.8,69.7,64.1%,7.7,5,-6,0,2,7,-1.2,-0.4,0.3,98,11.3,1109,6,3,False,False
BenJarvus Green-Ellis,NWE,25,RB,16,11,16,12,85,7.1,0,5,16,0.8,5.3,75.0%,5.3,229,1008,13,65,33,4.4,63.0,14.3,241,4.5,1093,13,0,False,False
Steve Johnson,BUF,24,WR,16,13,141,82,1073,13.1,10,61,45,5.1,67.1,58.2%,7.6,,,,0,,,,,82,13.1,1073,10,1,False,False
Hakeem Nicks,NYG,22,WR,13,12,128,79,1052,13.3,11,45,46,6.1,80.9,61.7%,8.2,,,,0,,,,,79,13.3,1052,11,1,False,False
Brandon Jackson,GNB,25,RB,16,13,50,43,342,8.0,1,18,37,2.7,21.4,86.0%,6.8,190,703,3,30,71,3.7,43.9,11.9,233,4.5,1045,4,1,False,False
Jahvid Best,DET,21,RB,16,9,80,58,487,8.4,2,15,75,3.6,30.4,72.5%,6.1,171,555,4,25,45,3.2,34.7,10.7,229,4.6,1042,6,1,False,False
