Player,Tm,Age,Pos,Games_G,Games_GS,0-19_FGA,0-19_FGM,20-29_FGA,20-29_FGM,30-39_FGA,30-39_FGM,40-49_FGA,40-49_FGM,50+_FGA,50+_FGM,Scoring_FGA,Scoring_FGM,Scoring_Lng,Scoring_FG%,Scoring_XPA,Scoring_XPM,Scoring_XP%,Kickoffs_KO,Kickoffs_KOYds,Kickoffs_TB,Kickoffs_TB%,Kickoffs_KOAvg,Punting_Pnt,Punting_Yds,Punting_Lng,Punting_Blck,Punting_Y/P,ProBowl,AllPro
Sebastian Janikowski,OAK,32,,16,0,,,8,8,14,13,12,8,7,4,41,33,59,80.5%,43,43,100.0%,93,6007,29,31.2%,64.6,1,33,33,0,33.0,False,False
Dan Carpenter,MIA,25,,16,0,1,1,9,9,5,5,18,11,8,4,41,30,60,73.2%,25,25,100.0%,70,4470,14,20.0%,63.9,,,,,,False,False
Josh Brown,STL,31,,16,0,,,12,11,14,12,9,7,4,3,39,33,53,84.6%,27,26,96.3%,,,,,,,,,,,False,False
Nick Folk,NYJ,26,,16,0,1,1,11,10,16,14,6,3,5,2,39,30,56,76.9%,37,37,100.0%,81,4986,7,8.6%,61.6,,,,,,False,False
David Akers,PHI,36,,16,0,,,12,12,11,9,12,10,3,1,38,32,50,84.2%,47,47,100.0%,96,6135,23,24.0%,63.9,,,,,,True,False
Graham Gano,WAS,23,,16,0,1,1,10,8,7,4,14,11,3,,35,24,49,68.6%,28,28,100.0%,71,4617,9,12.7%,65.0,4,141,42,1,35.3,False,False
David Buehler,DAL,23,,16,0,,,8,8,7,4,11,8,6,4,32,24,53,75.0%,44,42,95.5%,84,5409,22,26.2%,64.4,,,,,,False,False
Jeff Reed,2TM,31,,14,0,2,2,10,9,9,8,7,3,4,2,32,24,53,75.0%,32,32,100.0%,71,4341,6,8.5%,61.1,,,,,,False,False
Matt Bryant,ATL,35,,16,0,,,11,11,9,8,10,8,1,1,31,28,51,90.3%,44,44,100.0%,,,,,,,,,,,False,False
Robbie Gould,CHI,28,,16,0,1,1,9,9,9,8,7,4,4,3,30,25,54,83.3%,35,35,100.0%,77,4890,16,20.8%,63.5,,,,,,False,False
Olindo Mare,SEA,37,,16,0,2,2,12,10,7,7,7,5,2,1,30,25,51,83.3%,31,31,100.0%,72,4679,20,27.8%,65.0,,,,,,False,False
Neil Rackers,HOU,34,,16,0,,,8,8,11,11,7,5,4,3,30,27,57,90.0%,43,43,100.0%,86,5658,13,15.1%,65.8,,,,,,False,False
Billy Cundiff,BAL,30,,16,0,,,11,11,9,8,8,7,1,,29,26,49,89.7%,39,39,100.0%,79,5399,40,50.6%,68.3,,,,,,True,True
John Kasay,CAR,41,,16,0,,,9,9,2,2,14,11,4,3,29,25,55,86.2%,17,17,100.0%,4,228,,,57.0,,,,,,False,False
Connor Barth,TAM,24,,16,0,,,6,6,10,10,10,6,2,1,28,23,53,82.1%,36,36,100.0%,78,4809,1,1.3%,61.7,1,33,33,0,33.0,False,False
Mason Crosby,GNB,26,,16,0,1,1,8,7,5,4,10,8,4,2,28,22,56,78.6%,46,46,100.0%,84,5088,4,4.8%,60.6,,,,,,False,False
Phil Dawson,CLE,35,,16,0,3,3,7,7,10,10,5,3,3,,28,23,48,82.1%,28,28,100.0%,67,4035,7,10.4%,60.2,,,,,,False,False
